Timestamp,Hennings
2012-11-22T00:00:00-08:00 Los_Angeles,150.75249171257016kW
2012-11-23T00:00:00-08:00 Los_Angeles,149.65824890136722kW
2012-11-24T00:00:00-08:00 Los_Angeles,120.13075868288684kW
2012-11-25T00:00:00-08:00 Los_Angeles,124.56082932154332kW
2012-11-26T00:00:00-08:00 Los_Angeles,148.53530089060467kW
2012-11-27T00:00:00-08:00 Los_Angeles,149.66480016708374kW
2012-11-28T00:00:00-08:00 Los_Angeles,150.70831004778543kW
2012-11-29T00:00:00-08:00 Los_Angeles,151.43247143427521kW
2012-11-30T00:00:00-08:00 Los_Angeles,148.07390062014258kW
2012-12-01T00:00:00-08:00 Los_Angeles,127.88036513328554kW
2012-12-02T00:00:00-08:00 Los_Angeles,129.02248040835065kW
2012-12-03T00:00:00-08:00 Los_Angeles,144.7710047562917kW
2012-12-04T00:00:00-08:00 Los_Angeles,139.4294265906016kW
2012-12-05T00:00:00-08:00 Los_Angeles,143.97817214330047kW
2012-12-06T00:00:00-08:00 Los_Angeles,147.68569588661197kW
2012-12-07T00:00:00-08:00 Los_Angeles,144.52085860570273kW
2012-12-08T00:00:00-08:00 Los_Angeles,117.22916237513222kW
2012-12-09T00:00:00-08:00 Los_Angeles,114.49815575281777kW
2012-12-10T00:00:00-08:00 Los_Angeles,139.1120496590933kW
2012-12-11T00:00:00-08:00 Los_Angeles,139.840579032898kW
2012-12-12T00:00:00-08:00 Los_Angeles,134.08864005406699kW
2012-12-13T00:00:00-08:00 Los_Angeles,139.70516490936282kW
2012-12-14T00:00:00-08:00 Los_Angeles,142.2196220556896kW
2012-12-15T00:00:00-08:00 Los_Angeles,134.75785525639853kW
2012-12-16T00:00:00-08:00 Los_Angeles,136.79280336697897kW
2012-12-17T00:00:00-08:00 Los_Angeles,158.88299290339154kW
2012-12-18T00:00:00-08:00 Los_Angeles,142.3603292306264kW
2012-12-19T00:00:00-08:00 Los_Angeles,135.90526843070987kW
2012-12-20T00:00:00-08:00 Los_Angeles,130.59257721900943kW
2012-12-21T00:00:00-08:00 Los_Angeles,136.87739936510724kW
2012-12-22T00:00:00-08:00 Los_Angeles,122.20100394884741kW
2012-12-23T00:00:00-08:00 Los_Angeles,121.92441320419312kW
2012-12-24T00:00:00-08:00 Los_Angeles,131.5450118382772kW
2012-12-25T00:00:00-08:00 Los_Angeles,122.24566030502321kW
2012-12-26T00:00:00-08:00 Los_Angeles,122.68960309028627kW
2012-12-27T00:00:00-08:00 Los_Angeles,121.35994378725684kW
2012-12-28T00:00:00-08:00 Los_Angeles,118.67823974291483kW
2012-12-29T00:00:00-08:00 Los_Angeles,115.67586843172708kW
2012-12-30T00:00:00-08:00 Los_Angeles,114.30970501899725kW
2012-12-31T00:00:00-08:00 Los_Angeles,128.74604701995852kW
2013-01-01T00:00:00-08:00 Los_Angeles,117.84571727116906kW
2013-01-02T00:00:00-08:00 Los_Angeles,148.75351285934443kW
2013-01-03T00:00:00-08:00 Los_Angeles,143.7926007906596kW
2013-01-04T00:00:00-08:00 Los_Angeles,133.32509859402975kW
2013-01-05T00:00:00-08:00 Los_Angeles,108.45870534578958kW
2013-01-06T00:00:00-08:00 Los_Angeles,104.55786013603212kW
2013-01-07T00:00:00-08:00 Los_Angeles,138.65988787015286kW
2013-01-08T00:00:00-08:00 Los_Angeles,141.49136964480078kW
2013-01-09T00:00:00-08:00 Los_Angeles,140.53797237078348kW
2013-01-10T00:00:00-08:00 Los_Angeles,143.78782161076862kW
