"Date","HDD_daily","CDD_daily","GHI_sum","Humidity_avg"
2017-06-03,3.2375,0,5822,70.1325
2017-06-04,3.48333333333333,0,8302,68.20875
2017-06-05,2.12916666666667,0.445833333333334,8186,63.5720833333333
2017-06-06,0.508333333333333,2.75833333333333,7931,55.1454166666667
2017-06-07,0.491666666666667,1.92083333333333,6516,67.1370833333333
2017-06-08,3.25416666666667,0,2731,80.3829166666667
2017-06-09,4.63333333333333,0,6809,70.735
2017-06-10,3.725,0,6624,73.0625
2017-06-11,2.1875,0.175,8252,73.26375
2017-06-12,2.14583333333333,0.254166666666667,6908,75.3895833333333
2017-06-13,4.54166666666667,0,3118,78.2729166666667
2017-06-14,4.44583333333333,0,3469,71.38125
2017-06-15,3.65,0,1574,84.7508333333333
2017-06-16,2.87083333333333,0,8282,76.2441666666667
2017-06-17,3.48333333333333,0,4439,72.9329166666667
2017-06-18,3.37916666666667,0,1003,83.1991666666667
2017-06-19,1.09166666666667,1.24583333333333,4241,75.7025
2017-06-20,1.33333333333333,0.775,6554,76.1458333333333
2017-06-21,2.525,0.120833333333333,7182,70.4070833333333
2017-06-22,1.83333333333333,0.858333333333333,8686,69.68875
2017-06-23,0.716666666666666,2.59166666666667,8654,64.5233333333333
2017-06-24,0.216666666666667,5.35,8646,56.2170833333333
2017-06-25,0,6.4375,7807,53.8458333333333
2017-06-26,0.275,1.88333333333333,8418,70.5141666666667
2017-06-27,1.09583333333333,0.925,8388,73.0533333333333
2017-06-28,1.05833333333333,0.783333333333334,8383,75.2004166666667
2017-06-29,0.504166666666667,2.5875,8262,70.5233333333333
2017-06-30,0.0791666666666666,2.67916666666667,8128,70.3791666666667
2017-07-01,0.666666666666667,1.4125,8300,74.3308333333333
2017-07-02,0.804166666666667,1.74166666666667,8342,75.715
2017-07-03,0.941666666666666,0.866666666666667,8521,69.9208333333333
2017-07-04,0.691666666666667,2.14583333333333,8465,65.3358333333333
2017-07-05,0.229166666666667,4.05,8582,58.41875
2017-07-06,0.141666666666667,3.95416666666667,8408,62.0604166666667
2017-07-07,0.2625,1.8125,7935,69.4495833333333
2017-07-08,0.320833333333333,2.47083333333333,7141,69.56
2017-07-09,0.3625,2.0625,6517,73.66625
2017-07-10,0.891666666666667,0.916666666666667,5244,72.1425
2017-07-11,0.975,1.29166666666667,8135,71.7541666666667
2017-07-12,0.716666666666667,1.625,7044,70.7829166666667
2017-07-13,0.7625,0.858333333333333,5927,69.9916666666667
2017-07-14,0.891666666666667,1.76666666666667,8255,65.7
2017-07-15,1.225,1.10416666666667,8154,69.5495833333333
2017-07-16,1.40416666666667,0.541666666666667,7439,70.32625
2017-07-17,0.691666666666667,1.97916666666667,7803,66.0333333333333
2017-07-18,0.191666666666667,2.96666666666667,8082,63.0841666666667
2017-07-19,0.658333333333334,1.5125,7097,71.44
2017-07-20,0.654166666666667,1.03333333333333,6312,73.3320833333333
2017-07-21,0.758333333333333,0.6125,3622,73.64375
2017-07-22,0.408333333333333,1.25,1938,81.21875
2017-07-23,0.375,1.575,7146,75.1716666666667
2017-07-24,0.533333333333333,2.83333333333333,7416,67.7683333333333
2017-07-25,0.0749999999999999,4.575,7859,63.56625
2017-07-26,0.0874999999999999,3.09166666666667,6400,72.385
2017-07-27,0.425,1.3625,6816,75.2379166666667
2017-07-28,0.5875,2.13333333333333,7685,71.2804166666667
2017-07-29,0.579166666666667,2.5,7680,70.7716666666667
2017-07-30,0.2625,2.43333333333333,7692,69.7375
2017-07-31,0.325,3.44166666666667,7680,68.38625
2017-08-01,0,5.05,6250,67.4725
2017-08-02,0,7.04166666666667,6060,60.9395833333333
2017-08-03,0,6.44166666666667,6168,63.9804166666667
2017-08-04,0,6.27916666666667,5462,61.9845833333333
2017-08-05,0,4.0125,5552,70.62
2017-08-06,0,4.02916666666667,6014,72.1529166666667
2017-08-07,0,4.80833333333333,5884,72.6604166666667
2017-08-08,0,5.10416666666667,5724,72.075
2017-08-09,0,6.1375,5949,66.0995833333333
2017-08-10,0,6.25416666666667,6293,69.02
2017-08-11,0,5.41666666666667,6237,67.75375
2017-08-12,0.329166666666667,1.49166666666667,4729,78.1954166666667
2017-08-13,0.754166666666667,0.933333333333333,6097,76.5295833333333
2017-08-14,1.08333333333333,0.366666666666667,5493,73.7408333333333
2017-08-15,0.545833333333333,1.74166666666667,6608,67.8516666666667
2017-08-16,0.475,1.88333333333333,5340,74.7783333333333
2017-08-17,0.358333333333333,1.87916666666667,6673,74.55625
2017-08-18,0.795833333333333,1.1,4931,77.47375
